CODESTAB,G1V,G1C,G2V,G2C,G3V,G3C,G4V,G4C,G5V,G5C,G6V,G6C,G7V,G7C,G8V,G8C,G9V,G9C,G10V,G10C,SCORE
2077671,345.0,212.0,201.0,16.0,532.0,96.0,251.0,6.0,122.0,152.0,5.0,8.0,4.0,11.0,4.0,15.0,0.0,1.0,171.0,62.0,14.0
2077450,105.0,64.0,108.0,34.0,187.0,21.0,121.0,7.0,43.0,179.0,1.0,15.0,4.0,6.0,0.0,2.0,0.0,1.0,31.0,24.0,13.0
2077426,465.0,271.0,62.0,42.0,489.0,81.0,48.0,8.0,111.0,272.0,0.0,14.0,1.0,14.0,9.0,46.0,0.0,5.0,140.0,90.0,12.0
2076926,402.0,244.0,469.0,305.0,440.0,81.0,392.0,56.0,127.0,419.0,2.0,46.0,6.0,45.0,10.0,27.0,1.0,5.0,179.0,72.0,11.0
2792176,26.0,5.0,16.0,7.0,32.0,1.0,8.0,1.0,6.0,9.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,13.0,2.0,10.0
6984649,270.0,179.0,821.0,256.0,343.0,46.0,560.0,60.0,169.0,191.0,6.0,25.0,4.0,18.0,2.0,8.0,0.0,3.0,126.0,46.0,9.0
5718368,507.0,216.0,624.0,201.0,798.0,105.0,469.0,68.0,252.0,527.0,7.0,24.0,7.0,28.0,2.0,80.0,0.0,2.0,227.0,103.0,8.0
3212130,218.0,92.0,389.0,123.0,288.0,26.0,318.0,18.0,114.0,217.0,3.0,27.0,5.0,33.0,0.0,28.0,0.0,8.0,153.0,58.0,7.0
2081970,66.0,31.0,246.0,109.0,104.0,10.0,301.0,45.0,62.0,158.0,1.0,9.0,3.0,21.0,4.0,20.0,0.0,1.0,106.0,46.0,6.0
2091585,621.0,246.0,305.0,87.0,835.0,70.0,299.0,21.0,209.0,315.0,4.0,35.0,5.0,36.0,12.0,73.0,0.0,6.0,214.0,84.0,5.0
2066092,468.0,113.0,318.0,117.0,610.0,50.0,269.0,31.0,168.0,298.0,7.0,47.0,1.0,50.0,5.0,82.0,0.0,8.0,323.0,106.0,4.0
5420938,420.0,121.0,675.0,193.0,637.0,51.0,575.0,34.0,236.0,240.0,4.0,33.0,7.0,32.0,10.0,41.0,0.0,7.0,225.0,99.0,3.0
2077493,395.0,95.0,202.0,53.0,581.0,48.0,187.0,19.0,155.0,212.0,2.0,14.0,6.0,12.0,6.0,16.0,1.0,1.0,106.0,38.0,2.0
2080583,409.0,99.0,256.0,97.0,665.0,35.0,198.0,15.0,134.0,215.0,4.0,19.0,7.0,21.0,6.0,24.0,1.0,1.0,159.0,36.0,1.0
